t,x,y,z,qx,qy,qz,qw,gripper_width,q,dq
8.988380432128906e-05,0.30694007873535156,0.00014967506285756826,0.43999287486076355,0.9999998330376826,0.00012028658897903412,-0.0004832978810471048,0.00029305102232003255,0.9857432482997921,"[0.0004623232234735042, -0.7848755717277527, 0.00033153340336866677, -2.356799840927124, -0.00034802238224074244, 1.5709484815597534, 0.7858579754829407]",
0.026648759841918945,0.30693382024765015,0.00012987619265913963,0.4400102198123932,0.9999998530168365,8.976865597951905e-05,-0.00045836639255248735,0.0002753327879338257,0.9857432482997921,"[0.0003948925877921283, -0.7850643992424011, 0.00020274141570553184, -2.35660457611084, -0.0003351341874804348, 1.570944905281067, 0.7858399748802185]",
0.07865619659423828,0.306942880153656,9.066538041224703e-05,0.4401189386844635,0.999999919463636,3.900250353661043e-05,-0.0003288746199873393,0.00022670026657106726,0.9857432482997921,"[0.00039706614916212857, -0.7849832773208618, 0.00022441644978243858, -2.356661081314087, -0.0003219677892047912, 1.5709372758865356, 0.7858506441116333]",
0.181243896484375,0.3069460093975067,0.0001077160777640529,0.4400595724582672,0.9999998851374662,5.692726293385694e-05,-0.00040851944946066377,0.00024412333110939205,0.9857432482997921,"[0.000402053352445364, -0.7849265336990356, 0.00023927325673867017, -2.3567113876342773, -0.0003268932632636279, 1.5709428787231445, 0.7858530282974243]",
0.29306888580322266,0.3069479465484619,0.0001060286522260867,0.4400521516799927,0.9999998819116627,5.7052725736011714e-05,-0.0004168333630055799,0.00024325212170683917,0.9857432482997921,"[0.00040493192500434816, -0.7849457859992981, 0.0002275300503242761, -2.356687545776367, -0.0003222287923563272, 1.570942997932434, 0.7858467698097229]",
0.32121777534484863,0.30695152282714844,0.00010735982505138963,0.4400843381881714,0.9999998987970008,5.663057207974839e-05,-0.0003739802777371729,0.0002435933464230057,0.9857432482997921,"[0.0004051624273415655, -0.7849581241607666, 0.00022435016580857337, -2.356673240661621, -0.00032482444657944143, 1.5709432363510132, 0.7858484387397766]",
0.4216492176055908,0.30694860219955444,0.00011235972488066182,0.4400648772716522,0.9999998874091962,6.608630700601289e-05,-0.000397823637278317,0.0002501010765534909,0.9857432482997921,"[0.00040509100654162467, -0.7849472761154175, 0.00024272645532619208, -2.356684923171997, -0.00032575850491411984, 1.570942759513855, 0.7858522534370422]",
0.4772531986236572,0.30694878101348877,0.00010469224798725918,0.4400656819343567,0.9999998894397221,5.48726325450064e-05,-0.00039771593938311034,0.0002448092512213591,0.9857432482997921,"[0.000408871506806463, -0.7849489450454712, 0.00023807496472727507, -2.3566842079162598, -0.0003267477732151747, 1.5709432363510132, 0.7858526110649109]",
0.5777132511138916,0.3069492280483246,0.00010748379281722009,0.44006726145744324,0.9999998890610362,5.792587572727766e-05,-0.0003963890958632526,0.00024778658746316454,0.9857432482997921,"[0.00040132718277163804, -0.7849435806274414, 0.0002448062296025455, -2.3566925525665283, -0.000327262154314667, 1.5709435939788818, 0.7858574986457825]",
0.6901412010192871,0.30694884061813354,0.00010886364907491952,0.440064013004303,0.9999998871262726,5.703041067373037e-05,-0.0004004786335593997,0.00024922246807248876,0.8615058481980732,"[0.00040503466152586043, -0.7849453091621399, 0.00023216093541122973, -2.35668683052063, -0.0003280212404206395, 1.5709439516067505, 0.7858544588088989]",
0.7412238121032715,0.3069472014904022,0.00011213493417017162,0.4400615394115448,0.9999998849824023,6.126129307092148e-05,-0.00040511510225077984,0.0002493270741316049,0.8615058481980732,"[0.0004044587258249521, -0.7849453091621399, 0.00024204261717386544, -2.3566904067993164, -0.00032563868444412947, 1.5709391832351685, 0.7858480215072632]",
