t,x,y,z,qx,qy,qz,qw,gripper_width,q,dq
8.344650268554688e-05,0.3070962131023407,-6.169159314595163e-05,0.4403962790966034,0.999999956420055,8.838506579190733e-07,-2.6978990115644537e-05,-0.000293991906596938,0.9857432482997921,"[-0.0002987984335049987, -0.7849057912826538, -0.0002417728101136163, -2.3559744358062744, 0.0004101865051779896, 1.5710158348083496, 0.7849225401878357]",
0.024204492568969727,0.30709102749824524,-4.631104820873588e-05,0.4403941035270691,0.9999999607856166,2.1309163608489694e-05,-2.6367305904669048e-05,-0.00027799181684577044,0.9857432482997921,"[-0.0002680741890799254, -0.7849722504615784, -0.0002277427993249148, -2.356114149093628, 0.00037717566010542214, 1.5709882974624634, 0.7849388122558594]",
0.12656688690185547,0.30706965923309326,-5.5642693041590974e-05,0.4403782784938812,0.999999962411331,1.3018883000422648e-05,-3.5144897951344934e-05,-0.0002716112686758105,0.9857432482997921,"[-0.00026614643866196275, -0.7850069999694824, -0.000215208696317859, -2.3560681343078613, 0.0003791515191551298, 1.571005940437317, 0.7849334478378296]",
0.17881488800048828,0.3070661723613739,-4.975825868314132e-05,0.440368115901947,0.9999999627069048,2.1411456342805943e-05,-4.811235254043434e-05,-0.0002679793649422712,0.9857432482997921,"[-0.0002707248495426029, -0.7849884629249573, -0.00022574489412363619, -2.356077194213867, 0.00037840259028598666, 1.5710041522979736, 0.7849320769309998]",
0.2748453617095947,0.30706578493118286,-5.074649379821494e-05,0.4403621554374695,0.9999999622972068,2.1340453897630225e-05,-5.4137622012601616e-05,-0.000268364096324967,0.9857432482997921,"[-0.000270491378614679, -0.7849894762039185, -0.0002260109322378412, -2.3560798168182373, 0.00037955408333800733, 1.5710043907165527, 0.7849287390708923]",
0.3753185272216797,0.3070668876171112,-4.863274079980329e-05,0.4403756260871887,0.9999999636541691,2.4884469380444e-05,-3.637567977163379e-05,-0.000265987280962463,0.9857432482997921,"[-0.00026767185772769153, -0.7849894762039185, -0.00021993907284922898, -2.356076240539551, 0.0003793509677052498, 1.5710033178329468, 0.7849208116531372]",
0.4267735481262207,0.3070679306983948,-5.243299892754294e-05,0.44037213921546936,0.9999999623420527,1.696684645133873e-05,-4.091979667726547e-05,-0.0002708386784351575,0.9857432482997921,"[-0.00027219767798669636, -0.7849909663200378, -0.00022395919950213283, -2.356077194213867, 0.00038154274807311594, 1.571004033088684, 0.7849257588386536]",
0.5273933410644531,0.3070673942565918,-5.153065285412595e-05,0.44037190079689026,0.9999999624976513,1.906486530053251e-05,-4.0852206672188337e-05,-0.0002701339001740177,0.9857432482997921,"[-0.0002697779273148626, -0.7849873304367065, -0.0002282671193825081, -2.3560733795166016, 0.0003791513736359775, 1.5710026025772095, 0.7849230766296387]",
0.5716300010681152,0.3070661425590515,-4.959118086844683e-05,0.4403734803199768,0.9999999633397844,2.3326666759169175e-05,-3.913897027912303e-05,-0.00026691653698800584,0.9857432482997921,"[-0.000269755139015615, -0.784988522529602, -0.0002238014858448878, -2.356078863143921, 0.0003823357983492315, 1.5710045099258423, 0.7849293351173401]",
0.6707849502563477,0.3070666491985321,-5.0708164053503424e-05,0.440372109413147,0.9999999635149939,2.0343759546875287e-05,-3.9920901094768515e-05,-0.00026638780780012137,0.9857432482997921,"[-0.0002697779273148626, -0.7849942445755005, -0.00022776912373956293, -2.3560726642608643, 0.00038054841570556164, 1.5710023641586304, 0.7849277257919312]",
0.7712490558624268,0.30706658959388733,-5.056558802607469e-05,0.4403724670410156,0.9999999631237597,2.235920353941022e-05,-4.087606698393409e-05,-0.00026754755156596074,0.9857432482997921,"[-0.00026903257821686566, -0.7849873900413513, -0.00022180064115673304, -2.356076717376709, 0.00037919895839877427, 1.571004033088684, 0.7849258184432983]",
0.7987935543060303,0.307066410779953,-5.055155270383693e-05,0.4403742849826813,0.9999999629150389,2.1745631093139637e-05,-3.8434790339595606e-05,-0.0002687374469429401,0.9857432482997921,"[-0.00026985679869540036, -0.7849872708320618, -0.00022177434584591538, -2.3560731410980225, 0.0003791515191551298, 1.571004033088684, 0.78492271900177]",
0.9024958610534668,0.30706721544265747,-5.108989716973156e-05,0.44037380814552307,0.9999999626637989,2.1787497858720297e-05,-3.960608674000468e-05,-0.00026949779891770976,0.7474611627113693,"[-0.0002660681784618646, -0.7849966883659363, -0.00022182974498718977, -2.3560726642608643, 0.0003807194298133254, 1.571004867553711, 0.7849245667457581]",
1.0068705081939697,0.30706727504730225,-4.9736976507119834e-05,0.44037196040153503,0.9999999628146368,2.4160169570184472e-05,-4.2072576393232364e-05,-0.000268359664684203,0.7474611627113693,"[-0.00026901232195086777, -0.7849948406219482, -0.0002220627065980807, -2.3560752868652344, 0.0003787123423535377, 1.571004033088684, 0.7849199175834656]",
1.0507681369781494,0.3070669174194336,-5.068806422059424e-05,0.44037312269210815,0.9999999624549478,2.2385724390826386e-05,-4.022958475816932e-05,-0.00027013064053376025,0.7474611627113693,"[-0.00026437841006554663, -0.7849907279014587, -0.00022187959984876215, -2.3560729026794434, 0.00037879645242355764, 1.5710033178329468, 0.7849199175834656]",
1.154512643814087,0.3070679306983948,-5.0716920668492094e-05,0.4403737187385559,0.9999999631571601,2.5197536559555622e-05,-3.930561153269744e-05,-0.0002674057431755077,0.34004129916897097,"[-0.0002681445039343089, -0.7849932312965393, -0.0002220383466919884, -2.3560705184936523, 0.0003802173014264554, 1.5710009336471558, 0.784923791885376]",
